Mean Daily Maximum Air Temperature (°C),,,,,,,,,,,,,
Data are mean monthly values for the 1981-2010 period for locations having at least 5 complete years of data,,,,,,,,,,,,,
Station details are available in separate table,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR
------------------------------,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------
Kaitaia,23.9,24.6,23.0,20.9,18.5,16.4,15.6,15.8,17.0,18.1,19.7,21.9,19.6
Whangarei ,24.3,24.3,22.9,20.5,18.1,16.1,15.3,15.7,17.3,18.7,20.6,22.8,19.7
Auckland,23.1,23.7,22.4,20.1,17.7,15.5,14.7,15.1,16.5,17.8,19.5,21.6,19.0
Tauranga ,24.0,24.0,22.5,19.9,17.4,15.1,14.5,15.0,16.6,18.1,20.1,22.3,19.1
Hamilton,23.9,24.3,22.7,19.9,16.9,14.3,13.8,14.7,16.5,17.9,19.8,21.9,18.9
Rotorua ,22.8,22.9,20.9,18.0,15.1,12.6,12.0,12.8,14.6,16.4,18.6,20.8,17.3
Gisborne ,24.6,24.2,22.6,19.9,17.4,15.1,14.2,15.1,17.0,18.9,20.9,23.2,19.5
Taupo ,22.7,22.6,20.4,17.2,14.1,11.7,11.0,11.9,13.9,15.8,18.3,20.7,16.7
New Plymouth ,21.7,22.1,20.9,18.6,16.0,14.0,13.3,14.0,15.0,16.1,18.1,19.9,17.5
Napier,24.5,24.2,22.7,19.9,17.4,15.0,14.1,15.1,17.3,19.2,20.9,23.2,19.5
Wanganui,22.5,22.8,21.4,18.8,16.3,14.1,13.3,14.1,15.7,17.0,18.7,20.9,18.0
Palmerston North,23.0,23.5,21.5,18.6,15.8,13.3,12.7,13.5,15.3,16.7,18.3,20.9,17.8
Masterton,24.3,24.0,21.9,18.8,15.4,13.2,12.1,13.1,15.4,17.5,19.8,22.1,18.1
Wellington,20.3,20.6,19.1,16.6,14.3,12.2,11.4,12.2,13.7,14.9,16.6,18.5,15.9
Nelson ,22.4,22.6,21.0,18.1,15.6,13.1,12.5,13.4,15.0,16.9,18.9,20.7,17.6
Blenheim ,24.1,23.8,21.9,19.0,16.0,13.3,12.6,13.8,15.8,18.0,20.0,22.2,18.4
Westport ,19.9,20.5,19.1,17.1,15.0,13.0,12.6,13.0,14.3,15.3,16.7,18.4,16.4
Kaikoura,19.9,19.9,18.6,16.1,14.2,12.0,10.8,11.8,13.8,15.2,16.9,18.9,15.7
Hokitika ,19.5,19.9,18.6,16.5,14.3,12.3,11.9,12.6,13.8,14.9,16.4,18.0,15.7
Christchurch ,22.7,22.1,20.5,17.7,14.7,12.0,11.3,12.7,15.3,17.2,19.3,21.1,17.2
Mt Cook,20.5,20.7,17.9,14.5,11.0,7.6,6.5,8.6,11.9,14.2,16.5,18.2,14.0
Lake Tekapo,21.6,21.3,18.7,14.9,10.7,7.0,5.8,8.3,11.9,14.5,17.2,19.4,14.4
Timaru ,21.5,20.8,19.5,16.8,13.7,11.3,10.6,12.1,14.5,16.2,18.0,19.7,16.2
Milford Sound,18.9,19.3,17.8,15.5,12.4,9.6,9.2,11.4,13.1,14.5,16.0,17.5,14.6
Queenstown ,21.8,21.8,18.8,15.0,11.7,8.4,7.8,9.8,12.9,15.3,17.1,19.7,15.0
Alexandra,25.1,24.8,22.3,18.0,13.6,8.8,8.1,12.5,16.4,19.0,21.1,23.3,17.9
Manapouri ,20.8,20.6,18.2,14.9,11.6,8.4,8.1,10.0,12.7,14.9,16.5,18.9,14.8
Dunedin,18.9,18.6,17.3,15.3,12.7,10.6,10.0,11.2,13.2,14.7,16.1,17.3,14.7
Invercargill ,18.7,18.6,17.1,14.9,12.3,10.0,9.5,11.1,13.1,14.4,15.8,17.5,14.4
Chatham Islands,17.9,18.2,17.1,14.9,13.0,11.3,10.5,11.0,11.9,13.1,14.4,16.4,14.1
"Antarctica, Scott Base",-1.2,-8.0,-15.9,-18.7,-20.0,-20.1,-22.5,-23.4,-21.3,-15.6,-7.2,-1.2,-14.6
